name,href,amt,stemmeberettigede,stemmeprocent,optalte_stemmer,counselor_count,year,corrected_name,normalized_name,post_merger_kommune
Løgumkloster,k436521.htm,Sønderjyllands Amt,5212.0,85.39,4451.0,15,2001,Løgumkloster,Løgumkloster,Tønder
Gram,k436511.htm,Sønderjyllands Amt,3759.0,86.08,3236.0,13,2001,Gram,Gram,Haderslev
Rødding,k436527.htm,Sønderjyllands Amt,8169.0,87.64,7160.0,19,2001,Rødding,Rødding,Vejen
Tønder,k436541.htm,Sønderjyllands Amt,9713.0,84.52,8210.0,21,2001,Tønder,Tønder,Tønder
Højer,k436517.htm,Sønderjyllands Amt,2309.0,86.48,1997.0,13,2001,Højer,Højer,Tønder
Skærbæk,k436531.htm,Sønderjyllands Amt,5621.0,83.57,4698.0,17,2001,Skærbæk,Skærbæk,Tønder
Ribe,k441571.htm,Ribe Amt,13624.0,86.96,11848.0,21,2001,Ribe,Ribe,Esbjerg
Bramming,k441557.htm,Ribe Amt,9890.0,86.99,8604.0,17,2001,Bramming,Bramming,Esbjerg
Esbjerg,k441561.htm,Ribe Amt,63605.0,83.88,53353.0,25,2001,Esbjerg,Esbjerg,Esbjerg
Vejen,k441575.htm,Ribe Amt,12493.0,86.73,10836.0,21,2001,Vejen,Vejen,Vejen
Brørup,k441559.htm,Ribe Amt,4845.0,86.19,4176.0,13,2001,Brørup,Brørup,Vejen
Holsted,k441569.htm,Ribe Amt,5181.0,87.68,4543.0,15,2001,Holsted,Holsted,Vejen
Helle,k441567.htm,Ribe Amt,6050.0,88.87,5377.0,15,2001,Helle,Helle,Varde
Billund,k441551.htm,Ribe Amt,6381.0,87.76,5600.0,13,2001,Billund,Billund,Billund
Varde,k441573.htm,Ribe Amt,15363.0,86.89,13350.0,17,2001,Varde,Varde,Varde
Grindsted,k441565.htm,Ribe Amt,13079.0,85.85,11229.0,19,2001,Grindsted,Grindsted,Billund
Ølgod,k441577.htm,Ribe Amt,8346.0,87.58,7310.0,17,2001,Ølgod,Ølgod,Varde
Blaabjerg,k441553.htm,Ribe Amt,4767.0,87.45,4169.0,11,2001,Blaabjerg,Blåbjerg,Varde
Blåvandshuk,k441555.htm,Ribe Amt,3181.0,89.09,2834.0,13,2001,Blåvandshuk,Blåvandshuk,Varde
Thyholm,k443675.htm,Ringkøbing Amt,2766.0,88.39,2445.0,11,2001,Thyholm,Thyholm,Struer
Vinderup,k443683.htm,Ringkøbing Amt,6083.0,87.73,5337.0,17,2001,Vinderup,Vinderup,Holstebro
Holstebro,k443661.htm,Ringkøbing Amt,31155.0,87.53,27271.0,21,2001,Holstebro,Holstebro,Holstebro
Struer,k443671.htm,Ringkøbing Amt,14653.0,87.31,12794.0,19,2001,Struer,Struer,Struer
Ikast,k443663.htm,Ringkøbing Amt,17174.0,87.78,15076.0,17,2001,Ikast,Ikast,Ikast-Brande
Herning,k443657.htm,Ringkøbing Amt,45184.0,87.07,39346.0,21,2001,Herning,Herning,Herning
Brande,k443653.htm,Ringkøbing Amt,6620.0,85.78,5679.0,15,2001,Brande,Brande,Ikast-Brande
Aaskov,k443685.htm,Ringkøbing Amt,5087.0,87.85,4469.0,13,2001,Aaskov,Aaskov,Herning
Trehøje,k443677.htm,Ringkøbing Amt,6986.0,90.3,6309.0,17,2001,Trehøje,Trehøje,Herning
Videbæk,k443681.htm,Ringkøbing Amt,8885.0,89.26,7931.0,19,2001,Videbæk,Videbæk,Ringkøbing-Skjern
Skjern,k443669.htm,Ringkøbing Amt,9782.0,87.74,8583.0,21,2001,Skjern,Skjern,Ringkøbing-Skjern
Egvad,k443655.htm,Ringkøbing Amt,7137.0,87.47,6243.0,17,2001,Egvad,Egvad,Ringkøbing-Skjern
Ringkøbing,k443667.htm,Ringkøbing Amt,13181.0,87.63,11551.0,19,2001,Ringkøbing,Ringkøbing,Ringkøbing-Skjern
Ulfborg-Vemb,k443679.htm,Ringkøbing Amt,5335.0,86.33,4606.0,15,2001,Ulfborg-Vemb,Ulfborg-Vemb,Holstebro
Lemvig,k443665.htm,Ringkøbing Amt,14004.0,86.97,12180.0,21,2001,Lemvig,Lemvig,Lemvig
Kjellerup,k464771.htm,Viborg Amt,10391.0,88.14,9159.0,17,2001,Kjellerup,Kjellerup,Silkeborg
Karup,k464769.htm,Viborg Amt,5104.0,88.77,4531.0,15,2001,Karup,Karup,Viborg
Fjends,k464763.htm,Viborg Amt,5939.0,88.33,5246.0,15,2001,Fjends,Fjends,Viborg
Viborg,k464791.htm,Viborg Amt,33282.0,85.91,28595.0,21,2001,Viborg,Viborg,Viborg
Hvorslev,k464767.htm,Viborg Amt,5071.0,86.68,4396.0,15,2001,Hvorslev,Hvorslev,Favrskov
Bjerringbro,k464761.htm,Viborg Amt,10369.0,87.3,9053.0,19,2001,Bjerringbro,Bjerringbro,Viborg
Tjele,k464789.htm,Viborg Amt,6154.0,89.71,5521.0,15,2001,Tjele,Tjele,Viborg
Møldrup,k464775.htm,Viborg Amt,5690.0,90.07,5125.0,15,2001,Møldrup,Møldrup,Viborg
Aalestrup,k464793.htm,Viborg Amt,5707.0,84.89,4845.0,15,2001,Aalestrup,Aalestrup,Vesthimmerland
Skive,k464779.htm,Viborg Amt,21660.0,85.76,18576.0,21,2001,Skive,Skive,Skive
Spøttrup,k464781.htm,Viborg Amt,5808.0,89.04,5172.0,15,2001,Spøttrup,Spøttrup,Skive
Sundsøre,k464783.htm,Viborg Amt,4957.0,88.54,4389.0,15,2001,Sundsøre,Sundsøre,Skive
Sallingsund,k464777.htm,Viborg Amt,4685.0,87.44,4097.0,13,2001,Sallingsund,Sallingsund,Skive
Morsø,k464773.htm,Viborg Amt,17516.0,86.03,15070.0,21,2001,Morsø,Morsø,Morsø
